,pp_upper_001,pp_upper_002,pp_upper_003,pp_upper_004,pp_upper_005,pp_upper_006,pp_upper_007,pp_upper_008,pp_upper_009,pp_upper_010,pp_upper_011,pp_upper_012,pp_upper_013,pp_upper_014,pp_upper_015,pp_main_001,pp_main_002,pp_main_003,pp_main_004,pp_main_005,pp_main_006,pp_main_007,pp_main_008,pp_main_009,pp_main_010,pp_main_011,pp_main_012,pp_main_013,pp_main_014,pp_main_015,pp_main_016,pp_main_017,pp_main_018,pp_main_019,pp_main_020,pp_main_021,pp_main_022,pp_main_023,pp_main_024,pp_main_025,pp_main_026,pp_main_027,pp_main_028,pp_main_029,pp_main_030,pp_main_031,pp_main_032,pp_main_033,pp_main_034,pp_main_035,pp_lower_001,pp_lower_002,pp_lower_003,pp_lower_004,pp_lower_005,pp_lower_006,pp_lower_007,pp_lower_008,pp_lower_009,pp_lower_010,pp_lower_011,pp_lower_012,pp_lower_013,pp_lower_014,pp_lower_015,rch_mult,ghbcond_mult,riverbedk_mult,channel_mult,backfill_mult
base,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
real_0001,0.03665737464275169,0.01615873329364995,-0.19683986067099124,-0.11435438002222532,0.3593387089401178,0.014237085528871918,0.18555077492328426,-0.10866834296639304,-0.5391925050356924,-0.4693935422543785,0.3810316805064431,0.7245964047659297,0.42082810174436497,-0.03617334476078098,-0.2586637517965337,0.6329006259524725,1.0535205140269648,0.5820044481635198,-0.5261855262146757,-0.11064127799845339,-0.07495943319766647,-0.08006102050138277,0.4855620556664964,0.5248397973440064,0.5366209746886134,-0.03947995035671141,-0.21292226536163253,-0.6620289701199568,0.3403528259944318,-0.6222097500986064,-0.08796996125133554,-0.2327403640734871,0.24280867971820558,-0.28213730617046456,-0.4219703060539164,-0.016581576178293075,-0.21684927929946543,-0.43861712961479477,-0.8983081642512939,-0.1965090386403008,-0.0717871827913507,-0.07783639192612005,0.6963983661751847,-0.6797775270063734,-0.6653250883652945,0.3335545236147209,-0.30947861195372783,0.1519537194882123,0.20388128753174126,0.9976960547901329,0.640948594944697,-0.08236512682111513,0.46587271128023,0.3239414259698259,0.0709821859165957,-0.18335040133396707,-0.1115165467530224,-0.11582069014692672,0.5699504562717004,0.42946237345597815,0.15265821478938263,-0.38038175726479223,-0.014127582901864973,0.17311059288595154,-0.3464514500525557,1.0457075619631646,1.2591025321246279,1.1030820805801622,1.0779383410640004,0.6693647166770802
real_0002,0.07007193555620694,-0.20967113682278093,0.8993406474163698,0.569316099293023,-0.20014510693244902,-0.05239150656728314,0.13827172349143302,0.38726147600863153,0.1938240984413934,-0.09748086982538619,0.75702981060427,0.11519545222825835,-0.11379385488468777,0.3157709709095588,-0.2335003488326199,-0.15883477620292805,0.7843904931398319,-0.28132458234819163,0.10797613767664474,0.10184863095755173,0.6255787258267201,0.2781644421161152,0.17400530263541616,0.13812760371725427,0.27500149127063983,0.19220823190665842,0.07976228045619693,0.12803911729043885,0.4023882905321872,-0.38383068886178917,-0.27962215528400547,-0.05189567206356215,0.32126118917141366,0.18813457054213092,-0.03802984411969178,0.8096761473410419,-0.37017434882907857,-0.245063993064923,0.5374151496643647,0.8448796630426147,0.2493088130373241,-0.499556184768438,-0.038616161241683905,-0.5777219072719391,0.3780499305933018,0.42825156659995645,0.21499323009389965,-0.30131096354463993,-0.5539749157620302,-0.3318217162042755,0.327925061531841,-0.0939986529824971,0.4823716787013779,0.42666288444304573,-0.6050613036494862,0.040132791729412975,-0.43272886064550575,0.027874384856832215,0.004835006846838017,0.148992276866453,-0.20895809269016327,-0.8955055303697806,-0.21411803228083395,0.344706301253713,0.03573939310316005,0.8440023840639257,0.7699207892625793,0.8844922225288698,1.0205106367452534,0.8784514673252383
real_0003,-0.441776838720527,-0.04865669560592449,-0.3663857330727839,-0.22944063742797147,0.479125343174942,-0.35009339911769505,-0.018418642840706535,-0.49317225427979355,0.21848974515331632,0.5421057927338904,-0.10467191728373679,-0.08449680467944416,-0.04397132399343544,-0.3857512366040101,-0.5479781614347321,-0.9476952413172822,-0.34423188589971326,0.5651777780390493,-0.4476177198240005,0.11253657857297011,0.8774320312475992,-0.025280106385002,-0.964664742976304,0.2431244980624742,0.7503910896382363,0.5513433292114545,0.6404903942540209,0.6427422483356218,0.1928590924060231,0.21677862941620882,0.3145613255169899,0.6317869855943944,0.5843610608888595,0.3371905084970204,0.5823922957463339,0.30133156297681984,0.3865089471914629,0.5720205141460802,-0.4163632504096191,-0.3028706086521702,0.29354432279564197,0.5656931325135671,0.16708438391701347,-0.2768822444498074,-0.40419432241429265,-0.6700978635099222,-0.6721030686955719,-0.43035205462938786,0.9110334135590457,0.7839564025836637,-0.6916582455855129,0.1998840979524096,0.39510271899542393,0.2935012438883943,0.20088118146553688,-0.14618365455319457,-0.1380305690385735,-0.14188734967234234,-0.5833361140500348,-0.31526117522219804,0.10623552525374942,0.09640037652275237,-0.19915409495109415,-0.14548278015790922,-0.5732449489323329,1.1125676793709687,1.1295742020547284,1.2548894433882478,0.9705115020163665,1.1050566773686463
real_0004,0.5339926758688649,-0.17260743951540813,-0.04107767780959623,0.013389143162120339,0.08530901810086634,0.614591977429015,0.24290842846490568,-0.3289056100002414,-0.7633566468067602,-0.3743652960508705,0.2967381185105619,-0.08246578101437661,-0.5127949693016761,-0.28686431236765486,-0.16330166094938878,0.8295959424086286,0.3245860852910803,0.8945564285105803,0.6330658788716057,0.49487258397398604,-0.013966916146085829,0.35286797863409325,0.05579450018897832,0.11884167668642957,-0.010989968257679701,0.01001917051033117,-0.0900455985344151,0.4972336312863451,-0.026015778733784408,0.5828844630523258,-0.08630803477446225,-0.0035714589108901433,-0.706276911622304,0.3679010082931393,0.3466678999711277,0.2743241364629968,-0.3621356738078532,-0.14518582835562555,-0.17947610657519228,-1.2,-0.48807491030073014,0.25503136095260026,0.23522594123553373,-0.6690216482159521,-0.2196522122032121,-0.5351952859442585,-0.62518451392477,-0.38044578896585646,-0.06672241150358062,-0.5470529061434805,-0.3177725309183017,-0.48387409744218846,0.0740540381857622,0.36974915422851135,0.14356004498647199,-0.20206403594479183,-0.33307119430870874,-0.10409255534793517,0.4309219363060307,0.14693280768708683,0.030819648050583657,0.18653218835979657,-0.1955342905392782,0.33324795893645126,0.7261741486114853,1.141084707458682,0.9507212165315659,0.874482492712616,1.3176552214298525,0.9744008233472259
real_0005,-0.5516283352945096,-0.9383802979493607,-0.4872116537444643,-0.3790456832105992,0.12658131753752674,-0.7083033735997943,-1.0,-0.2797372094233012,-0.5175572203400598,0.23724096380686513,-0.5856682590546498,-0.9188547041811386,-0.48080766645223416,-0.048031026009035825,0.0409349625793332,0.49844226693057647,0.40427720113779236,-0.17214201807680313,0.5033145238861317,0.5236803635727182,-0.2522335681106549,-0.15929810774954525,-0.1294001915977695,-0.46146387986430015,-0.3306211018259905,0.15551432302140544,-0.32507126510918727,-0.0673822543265805,0.04818316626082746,-0.6963857270294099,-0.466803363554038,-0.21880859329631566,-0.8905916802767152,-0.2947401512609446,-0.5522774046245919,0.41207907604517807,-1.150438695890162,0.20485906128667533,-0.05259175175180841,-0.7460763739746153,-0.7557972996179516,-0.1611913801172072,-1.1134383405552832,0.41552049642350813,0.06118962650120253,-0.5654977116713148,-0.6990667530474005,-1.2,-0.5451667862571129,-0.45091147231209266,0.23130722351388266,-0.21321164427907854,0.25230458286205476,-0.05409891754696963,-0.5677385288358665,-0.12393615944619064,0.06833490323613894,0.17666392657523894,0.4172402222543485,-0.21583883846572277,0.004719797946416295,0.1515953351694145,0.29578598989768135,0.1319683723121782,0.22626546580607387,0.7073447217019245,0.9908013481256729,0.8726769433795528,0.8755585109410564,0.8373590948986019
real_0006,-0.30197992522244455,-0.08777920272157912,-0.24542115459374414,0.26715054206864197,0.2532744042055165,0.017516160070314774,0.11550979581736057,0.04164940431866064,0.018478813651124904,-0.5454221365408468,-0.05393864080260574,-0.20531028186000172,-0.2632275143371102,-0.3746462171076878,-0.6723166813524314,-0.1048557726421393,-0.29745464455603154,0.12516441416375085,-0.09157181561908521,-0.47205567370853985,0.19717229089714533,-0.2170708453824669,-0.6337395625853175,0.14458281583067456,0.005665082156535987,0.7228980603130768,0.08066456415102144,-0.7325179318149323,-0.3219899875947156,-1.1777019072309882,-0.004478158676879446,0.2887752516852953,0.7169319738709499,0.301013497195364,-0.2118779196812201,-0.25952306055064,-1.1348495792305973,-0.7286115775160034,0.16924418357072518,0.3548376422952851,0.15955772871226367,-0.10914431119399115,0.6900106881411406,-0.640181940402295,-0.1591522757660718,0.033267845584716425,0.052899851389207046,-0.22944079501377018,-0.2081226624213888,0.08496910466906463,0.2764030762682137,0.21484787640565772,0.3276509141005699,0.5281264450440855,0.304499050272032,-0.3776830281063254,0.7174604204506134,0.7028298033776995,0.4507995936336825,-0.40597791430099744,-0.2105431232581509,0.20404890364241576,0.10111425026632731,0.31401891099483775,-0.3295447973251496,0.8046730739706522,0.8420652233944077,1.1082263221609063,1.4120596341048157,0.8314468845688727
real_0007,0.3579544193670985,0.3306604734770043,0.42772689333797276,0.44046091024765455,0.6338118998924677,-0.06227924503963265,0.02541049037906743,0.04517835157453932,0.01789311975129369,0.03596338043422264,0.5505607131454907,-0.03486918832881044,0.10819922209046974,0.06966952415635286,0.030649407918683102,-0.30484128289252177,-0.09795415143096843,0.6625132415991761,0.1883066666251642,0.5552841479870986,0.16444882355219362,0.2175937522322423,0.32392632246238495,0.4023615223549894,0.6236902245811299,0.2926670250324385,-0.12395816824636446,0.0749053738743712,0.09858630864482366,0.7520010177869546,0.33494004328060345,0.7117127964089222,-0.4068197487100654,-0.07586191559882376,-0.012950396469492864,-0.20016022630108557,0.02483891228155844,0.5026465103891807,0.32671223294929613,-0.3179721312818797,-0.19399468510778248,-0.30712824823417706,-0.026870432492291388,0.468241513907489,-0.29715262942500403,0.17793418484813978,0.024784919764836596,-0.042905640084916125,-0.45367822127202273,-0.38549921917396246,0.08368065057715679,-0.16912777067461507,0.47862025909064726,0.3825021397078562,0.15546982113873925,-0.3297875684042915,0.16777130253869946,0.32311052945283303,0.5584604366483317,0.8036664305104778,-0.16253757677507302,0.3902148708009678,0.39907327237961304,0.36093253872047015,0.05261930125661845,1.0191760604750928,0.9498315741466185,1.1525852964673873,0.9549137101543801,0.8219157338968228
real_0008,-0.1845700811598397,0.679751790769196,-0.3191332968729848,-0.7422161836898437,0.21708009643242576,0.011463701370116808,0.007194455506060724,-0.1338496393558583,-0.080751695336389,0.3669979660419992,0.44396265981285526,0.6057536814075862,0.2023220202943136,-0.18040123582611123,-0.03592528473646204,-0.3639407271529744,0.05527180372351919,-0.4399660850651116,-0.16511470295455236,-0.9484516993628305,0.06765775845835194,-0.2047322188211677,-0.06783698655754601,-0.5150508017015786,-1.1692415976613229,-0.9404665605530882,0.3787744487918333,0.18353837162588707,-0.06820631043855656,-0.14672099328387173,0.2766933096230423,-0.4431675928082596,-0.5720595893744129,-0.31893140853327134,0.6650833062554701,0.22512011277377894,0.44310652910409637,-0.19965686436630162,-0.7484430382190452,-0.8547594186604283,0.1484192409946764,-0.078615930745733,0.17896112262133906,-0.10114008741050032,-0.31288428439681815,0.13807163667383654,-0.482994291109553,-0.162959807739188,-0.13843943809402628,0.18575486531508267,-0.18003069843820443,-0.10223123019902564,-0.13289828453678357,-0.18750049121503395,-0.5603656500590948,0.17256054175791777,-0.2982408597928311,-0.5908985596268865,-0.32391333072073347,-0.09493915569201346,-0.3557465415827931,-0.39899979533420304,0.21817661940707755,-0.5687943380412884,-0.3096657849717435,0.9525636111484627,1.1950066892048437,1.0896198727872408,0.7445967110059544,0.7801225928352644
real_0009,0.3658486770085834,0.33760017777414586,-0.6035556731147914,-0.5632711116563299,-0.16908136259388,-0.15038166827900698,0.3590733945216435,0.22309126482179045,-0.28007268618264597,-0.05512592710946062,0.4893810597195304,0.31981292386109855,0.31618467400407896,-0.07283477433167995,0.260424629337672,-0.4868824756738563,0.009778790922859533,0.684382255680905,-0.14958776772446608,-0.6296389847589324,-0.28452535298967396,-0.7743346824508496,0.013045040626995314,0.5055791488786161,0.3792446025095279,0.8932477193362712,-0.5680492898516591,-0.3391825197573396,-0.4978267756947673,0.16823490420171322,0.4375224485963863,0.2008639228681681,0.3010396660470324,-0.5016407218579497,-0.9384292394549852,-0.41697681450001944,0.6021969753647475,0.2820165954986203,0.0018931442742955772,0.625039952541049,-0.32217448666305215,-1.1755458477193337,-0.6134731049383815,0.4960491181367862,-0.3987432223766491,0.2509675893380986,-0.8152057900338928,-0.885327716811174,-0.6629447469733417,0.013462430197601535,0.28703449375061385,-0.13012621368560837,-0.5283130049456851,0.03372144232935218,0.1371643772856651,0.2242129763284925,-0.1867633989824281,-0.15877727547936285,0.3913256182945372,-0.10072318141654245,0.08429368375287574,-0.4592665029724673,-0.5283539921089087,0.029360531143941763,-0.5188839003209672,0.9974798263743567,1.0873982862981562,0.6628805365230384,1.013983916198965,1.5704082193190154
